registered_number,route,component,page_file,title,route_state,sequence_number,source_bytes,dependency_count,primary_component,dependency_files,missing_imports,image_media_signals,interaction_signals,personal_voice_signals,design_tokens,error_signals,generic_signals,unknown_navigation_targets,boredom_risk,source_fingerprint,gift_present,memory,gift,compliment,message,surprise
"1","/","HomePage","src/pages/HomePage.jsx","Samjhana’s Birthday Door from Abu","sequence page 1","1","17146","3","page-specific JSX","src/pages/HomePage.jsx | src/data/personalVoice.js | src/data/roomSequence.js","","0","8","90","from-rose-200 via-orange-100 to-amber-100 from-sky-200 via-indigo-100 to-violet-100 from-emerald-200 via-teal-100 to-cyan-100 bg-[","","interaction with low media","","LOW","b44eaf96801f","true","Chau-Chau, Panipuri, momo, and the foods that became our language","a private letter from Abu","Your kindness is one of the reasons Abu keeps choosing you.","Samjhana, my Fuchee, Abu made the Abu’s birthday doorway room around Chau-Chau, Panipuri, momo, and the foods that became our language. This is a reminder that you are loved in the","Open this when you miss Abu. Your kindness is one of the reasons Abu keeps choosing you. This page is Abu’s a promise folded into a keepsake card for Samjhana."
"2","/curated-journey","CuratedJourneyPage","src/pages/CuratedJourneyPage.jsx","The Abu-to-Sanzu Journey","registered but not in sequence","","7225","2","page-specific JSX","src/pages/CuratedJourneyPage.jsx | src/data/personalVoice.js","","0","4","68","bg-[ text-[ rounded-full border-[ text-[10px] font-bold text-xs text-white/35 text-sm text-white/55","","interaction with low media","","MEDIUM","eb2c3c5d8d83","true","the future light-blue scooter ride toward Bardiya","a birthday blessing written in Abu’s handwriting","Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight.","Samjhana, my Samjhana, Abu made the Curated Journey room around the future light-blue scooter ride toward Bardiya. The gift inside is not expensive; it is specific to you.","This is a reminder that you are loved in the details. Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight. This page is Abu’s a tiny cinema ticket for one m"
"3","/story","StoryPage","src/pages/StoryPage.jsx","The Story of How Abu Met Samjhana","registered but not in sequence","","3803","1","page-specific JSX","src/pages/StoryPage.jsx","","0","5","19","bg-[ text-[ text-xs font-bold font-serif text-2xl rounded-full border-y border-[ text-[8rem]","","interaction with low media","","MEDIUM","e68543514e96","true","the dream of Pokhara, Manang, and Mustang waiting for us","a small surprise box with one true thing inside","You are beautiful in the moments you never think to pose for.","Samjhana, my Sanzu, Abu made the Story room around the dream of Pokhara, Manang, and Mustang waiting for us. Keep this for the next time distance feels loud.","Read this slowly, Sanu. It was made for your exact heart. You are beautiful in the moments you never think to pose for. This page is Abu’s a birthday blessing written in Abu’s hand"
"4","/gallery","GalleryPage","src/pages/GalleryPage.jsx","The Faces Abu Keeps Close","sequence page 2","2","55146","12","GallerySection","src/pages/GalleryPage.jsx | src/components/GallerySection.jsx | src/data/allMediaData.js | src/utils/mediaUtils.js | src/data/complimentsData.js | src/data/couplePhotosData.js | src/hooks/useDeviceGyro.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js | src/utils/assetHelper.js","","46","79","58","bg-gradient-to-b from-[ via-[ to-[ text-center rounded-full bg-pink-100 border-pink-200 text-rose-600 text-xs","","","","LOW","6a9413e76652","true","the day “Abhay” became “Abu” because you made it yours","a tiny memory ticket from Nepalgunj","You are the person behind every name Abu says with a softer voice.","Samjhana, my Bebo, Abu made the Gallery room around the day “Abhay” became “Abu” because you made it yours. A small surprise: Abu remembers more than he says.","Keep this for the next time distance feels loud. You are the person behind every name Abu says with a softer voice. This page is Abu’s a voice-note moment for the nights you miss h"
"5","/video","VideoPage","src/pages/VideoPage.jsx","Samjhana in Motion","sequence page 3","3","13988","2","page-specific JSX","src/pages/VideoPage.jsx | src/utils/mediaUtils.js","","30","11","28","to-Osaka bg-[ text-[ border-b border-white/10 text-xs font-bold text-white/55 text-white text-amber-200/75","","","","LOW","e8ca7e931581","true","the dream of Pokhara, Manang, and Mustang waiting for us","a promise folded into a keepsake card","You are beautiful in the moments you never think to pose for.","Samjhana, my Samjhana, Abu made the Video room around the dream of Pokhara, Manang, and Mustang waiting for us. This page is a soft place to land when your day is heavy.","A small surprise: Abu remembers more than he says. You are beautiful in the moments you never think to pose for. This page is Abu’s a compliment saved for your next tired day for S"
"6","/letter","LetterPage","src/pages/LetterPage.jsx","A Letter from Abu","sequence page 4","4","99015","8","LetterSection","src/pages/LetterPage.jsx | src/components/LetterSection.jsx | src/data/birthdayData.js | src/utils/mediaUtils.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js","","30","52","234","bg-gradient-to-b from-[ via-[ to-[ text-emerald-100 text-center rounded-full bg-emerald-500/20 text-emerald-300 border-emerald-400/30","","","","LOW","edce1cd68dd1","true","the dream of Pokhara, Manang, and Mustang waiting for us","a tiny memory ticket from Nepalgunj","You are beautiful in the moments you never think to pose for.","Samjhana, my Babe, Abu made the Letter room around the dream of Pokhara, Manang, and Mustang waiting for us. A small surprise: Abu remembers more than he says.","Keep this for the next time distance feels loud. You are beautiful in the moments you never think to pose for. This page is Abu’s a voice-note moment for the nights you miss home f"
"7","/bouquet","BouquetPage","src/pages/BouquetPage.jsx","A Bouquet of Words for Bhuntu","sequence page 5","5","101907","8","BouquetSection","src/pages/BouquetPage.jsx | src/components/BouquetSection.jsx | src/data/birthdayData.js | src/utils/mediaUtils.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js","","34","59","235","bg-gradient-to-b from-[ via-[ to-[ text-center rounded-full bg-pink-100 border-pink-200 text-rose-600 text-xs","","","","LOW","e286506fadcc","true","the day “Abhay” became “Abu” because you made it yours","a promise folded into a keepsake card","You are the person behind every name Abu says with a softer voice.","Samjhana, my Sanzu, Abu made the Bouquet room around the day “Abhay” became “Abu” because you made it yours. This page is a soft place to land when your day is heavy.","A small surprise: Abu remembers more than he says. You are the person behind every name Abu says with a softer voice. This page is Abu’s a compliment saved for your next tired day "
"8","/distance","DistancePage","src/pages/DistancePage.jsx","Nepalgunj to Sakai, Osaka","sequence page 6","6","58501","10","NepalgunjToOsakaFlightSim","src/pages/DistancePage.jsx | src/components/NepalgunjToOsakaFlightSim.jsx | src/components/WorldShell.jsx | src/themes.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js | src/utils/mediaUtils.js | src/utils/whatsappHelper.js","","27","54","49","text-sky-400 text-center font-ui rounded-3xl bg-slate-950 border-4 border-sky-500/80 shadow-[0_0_50px_rgba text-xs font-mono","","","","LOW","e40c69e9a76f","true","the dream of Pokhara, Manang, and Mustang waiting for us","a tiny memory ticket from Nepalgunj","You are beautiful in the moments you never think to pose for.","Samjhana, my Bebo, Abu made the Distance room around the dream of Pokhara, Manang, and Mustang waiting for us. A small surprise: Abu remembers more than he says.","Keep this for the next time distance feels loud. You are beautiful in the moments you never think to pose for. This page is Abu’s a voice-note moment for the nights you miss home f"
"9","/surprise","SurprisePage","src/pages/SurprisePage.jsx","The Surprise Abu Hid for You","sequence page 7","7","109674","11","FinaleSection","src/pages/SurprisePage.jsx | src/components/FinaleSection.jsx | src/3d/GiftBox3D.jsx | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js | src/components/WebGLErrorBoundary.jsx | src/components/InteractiveCake.jsx | src/data/birthdayData.js | src/utils/mediaUtils.js","","30","65","233","bg-gradient-to-b from-[ via-[ to-[ text-pink-300 text-rose-400 text-center rounded-full bg-white/80 border-pink-200","","","","LOW","a14626290122","true","dropping you at the Language Institute before Japan","a tiny memory ticket from Nepalgunj","Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves.","Samjhana, my Babe, Abu made the Surprise room around dropping you at the Language Institute before Japan. A small surprise: Abu remembers more than he says.","Keep this for the next time distance feels loud. Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves. This page is Abu’s a voice-note moment"
"10","/ring","RingSurprisePage","src/pages/RingSurprisePage.jsx","A Little Promise for the Future","registered but not in sequence","","46393","5","AudioController","src/pages/RingSurprisePage.jsx | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js","","0","78","30","rounded-full border-4 border-pink-400/40 shadow-2xl text-yellow-300 text-base rounded-t-xl bg-gradient-to-br from-rose-500 to-pink-600","","randomized output | interaction with low media","","LOW","4e48b1ef3bf4","true","the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home","a birthday blessing written in Abu’s handwriting","You make Abu want to become gentler, steadier, and more worthy of your trust.","Samjhana, my Babe, Abu made the Ring room around the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. The gift inside is not expensive; it is specific to you.","This is a reminder that you are loved in the details. You make Abu want to become gentler, steadier, and more worthy of your trust. This page is Abu’s a tiny cinema ticket for one "
